occurrence_no,record_type,collection_no,taxon_name,taxon_rank,taxon_no,matched_name,matched_rank,matched_no,early_interval,early_age,late_age,reference_no,lng,lat,genus,genus_no,family,family_no,order,order_no,class,class_no,phylum,phylum_no,cc,state,geogscale,early_age.1,late_age.1,cx_int_no,early_int_no,late_int_no,genus_name,species_name,late_interval,county,species_reso,genus_reso
1268243,occurrence,168697,Bombacacidites bombaxoides,species,276601,Bombacacidites,genus,276601,Late Campanian,83.5,61.6,54734;54734,-56.865555,-64.320831,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,AA,NA,local area,83.5,61.6,751,113,111,Bombacacidites,bombaxoides,Danian,NA,NA,NA
1268244,occurrence,168697,Bombacacidites sp.,genus,276601,Bombacacidites,genus,276601,Late Campanian,83.5,61.6,54734;54734,-56.865555,-64.320831,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,AA,NA,local area,83.5,61.6,751,113,111,Bombacacidites,sp.,Danian,NA,NA,NA
1270002,occurrence,168889,Malvaceae indet.,family,53879,Malvaceae,family,53879,Pleistocene,2.588,0.0117,55190;55190,145.699997,-17.366667,NA,NA,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,AU,Queensland,NA,2.588,0.0117,33,33,33,Malvaceae,indet.,NA,NA,NA,NA
1274144,occurrence,169272,Bombacacidites sp. A informal,genus,276601,Bombacacidites,genus,276601,Early Eocene,55.8,48.6,55271;55271,135.998886,-63.310001,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,AA,NA,NA,55.8,48.6,109,109,109,Bombacacidites,sp. A,NA,NA,informal,NA
1274224,occurrence,169273,Bombacacidites sp. A informal,genus,276601,Bombacacidites,genus,276601,Early Eocene,55.8,48.6,55271;55271,135.998886,-63.310001,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,AA,NA,NA,55.8,48.6,109,109,109,Bombacacidites,sp. A,NA,NA,informal,NA
1274225,occurrence,169273,Bombacacidites ? protocostatus informal,species,276601,Bombacacidites,genus,276601,Early Eocene,55.8,48.6,55271;55271,135.998886,-63.310001,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,AA,NA,NA,55.8,48.6,109,109,109,Bombacacidites,protocostatus,NA,NA,informal,?
1274294,occurrence,169274,Bombacacidites sp. A informal,genus,276601,Bombacacidites,genus,276601,Early Eocene,55.8,48.6,55271;55271,135.998886,-63.310001,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,AA,NA,NA,55.8,48.6,109,109,109,Bombacacidites,sp. A,NA,NA,informal,NA
1274363,occurrence,169275,Bombacacidites sp. A informal,genus,276601,Bombacacidites,genus,276601,Early Eocene,55.8,48.6,55271;55271,135.998886,-63.310001,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,AA,NA,NA,55.8,48.6,109,109,109,Bombacacidites,sp. A,NA,NA,informal,NA
1294827,occurrence,172874,Malvaceae indet.,family,53879,Malvaceae,family,53879,Early Pleistocene,2.588,0.781,55377;55377,144.216660,-37.583332,NA,NA,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,AU,Victoria,basin,2.588,0.781,33,741,740,Malvaceae,indet.,NA,NA,NA,NA
1295476,occurrence,172880,Malvaceae indet.,family,53879,Malvaceae,family,53879,Early Pleistocene,2.588,0.781,55377;55377,144.216660,-37.583332,NA,NA,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,AU,Victoria,basin,2.588,0.781,33,741,740,Malvaceae,indet.,NA,NA,NA,NA
1295579,occurrence,172881,Malvaceae indet.,family,53879,Malvaceae,family,53879,Early Pleistocene,2.588,0.781,55377;55377,144.216660,-37.583332,NA,NA,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,AU,Victoria,basin,2.588,0.781,33,741,740,Malvaceae,indet.,NA,NA,NA,NA
1295681,occurrence,172882,Malvaceae indet.,family,53879,Malvaceae,family,53879,Early Pleistocene,2.588,0.781,55377;55377,144.216660,-37.583332,NA,NA,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,AU,Victoria,basin,2.588,0.781,33,741,740,Malvaceae,indet.,NA,NA,NA,NA
1295891,occurrence,172884,Malvaceae indet.,family,53879,Malvaceae,family,53879,Early Pleistocene,2.588,0.781,55377;55377,144.216660,-37.583332,NA,NA,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,AU,Victoria,basin,2.588,0.781,33,741,740,Malvaceae,indet.,NA,NA,NA,NA
1311490,occurrence,144474,Bombacacidites baumfalki cf.,species,276601,Bombacacidites,genus,276601,Middle Eocene,48.6,37.2,46714;46714,-74.947502,-7.330556,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,PE,Loreto,small collection,48.6,37.2,37,109,106,Bombacacidites,baumfalki,NA,Contamana,cf.,NA
1374089,occurrence,187583,Malvaceae indet.,family,53879,Malvaceae,family,53879,Tortonian,11.62,7.246,62967;62967,-79.593597,9.212400,NA,NA,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,PA,NA,NA,11.62,7.246,99,99,99,Malvaceae,indet.,NA,NA,NA,NA
1386458,occurrence,112579,Bombacacidites baculatus,species,276601,Bombacacidites,genus,276601,Early Miocene,23.03,15.97,64042;64042,-46.770000,-1.051389,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,BR,Para,NA,23.03,15.97,35,103,102,Bombacacidites,baculatus,NA,NA,NA,NA
1430354,occurrence,149172,Bombacacidites sp.,genus,276601,Bombacacidites,genus,276601,Paleocene,66,33.9,47758;47758,-71.866669,-46.838333,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,AR,Santa Cruz,local area,66,33.9,26,38,37,Bombacacidites,sp.,Eocene,NA,NA,NA
1503673,occurrence,22811,Hightea n. gen. elliptica n. sp.,species,409568,Hightea elliptica,species,409568,Ypresian,56,47.8,72299;72299,0.833333,51.400002,Hightea,409567,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,UK,England,local area,56,47.8,109,109,109,Hightea,elliptica,NA,Kent,n. sp.,n. gen.
1503674,occurrence,22811,Hightea elegans n. sp.,species,417837,Hightea elegans,species,417837,Ypresian,56,47.8,72299;72299,0.833333,51.400002,Hightea,409567,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,UK,England,local area,56,47.8,109,109,109,Hightea,elegans,NA,Kent,n. sp.,NA
1503675,occurrence,22811,Hightea attenuata n. sp.,species,417838,Hightea attenuata,species,417838,Ypresian,56,47.8,72299;72299,0.833333,51.400002,Hightea,409567,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,UK,England,local area,56,47.8,109,109,109,Hightea,attenuata,NA,Kent,n. sp.,NA
1503676,occurrence,22811,Hightea fusiformis n. sp.,species,417839,Hightea fusiformis,species,417839,Ypresian,56,47.8,72299;72299,0.833333,51.400002,Hightea,409567,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,UK,England,local area,56,47.8,109,109,109,Hightea,fusiformis,NA,Kent,n. sp.,NA
1503677,occurrence,22811,Hightea inflata n. sp.,species,417840,Hightea inflata,species,417840,Ypresian,56,47.8,72299;72299,0.833333,51.400002,Hightea,409567,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,UK,England,local area,56,47.8,109,109,109,Hightea,inflata,NA,Kent,n. sp.,NA
1503678,occurrence,22811,Hightea oviformis n. sp.,species,417841,Hightea oviformis,species,417841,Ypresian,56,47.8,72299;72299,0.833333,51.400002,Hightea,409567,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,UK,England,local area,56,47.8,109,109,109,Hightea,oviformis,NA,Kent,n. sp.,NA
1503679,occurrence,22811,Hightea turbinata n. sp.,species,417842,Hightea turbinata,species,417842,Ypresian,56,47.8,72299;72299,0.833333,51.400002,Hightea,409567,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,UK,England,local area,56,47.8,109,109,109,Hightea,turbinata,NA,Kent,n. sp.,NA
1503680,occurrence,22811,Hightea orbicularis n. sp.,species,417843,Hightea orbicularis,species,417843,Ypresian,56,47.8,72299;72299,0.833333,51.400002,Hightea,409567,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,UK,England,local area,56,47.8,109,109,109,Hightea,orbicularis,NA,Kent,n. sp.,NA
1503681,occurrence,22811,Hightea minima n. sp.,species,417844,Hightea minima,species,417844,Ypresian,56,47.8,72299;72299,0.833333,51.400002,Hightea,409567,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,UK,England,local area,56,47.8,109,109,109,Hightea,minima,NA,Kent,n. sp.,NA
1503682,occurrence,22811,Hightea turgida n. sp.,species,417845,Hightea turgida,species,417845,Ypresian,56,47.8,72299;72299,0.833333,51.400002,Hightea,409567,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,UK,England,local area,56,47.8,109,109,109,Hightea,turgida,NA,Kent,n. sp.,NA
1505616,occurrence,22811,Hightea elliptica,species,409568,Hightea elliptica,species,409568,Ypresian,56,47.8,72441;72441,0.833333,51.400002,Hightea,409567,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,UK,England,local area,56,47.8,109,109,109,Hightea,elliptica,NA,Kent,NA,NA
1505617,occurrence,22811,Hightea fusiformis,species,417839,Hightea fusiformis,species,417839,Ypresian,56,47.8,72441;72441,0.833333,51.400002,Hightea,409567,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,UK,England,local area,56,47.8,109,109,109,Hightea,fusiformis,NA,Kent,NA,NA
1505618,occurrence,22811,Hightea elegans,species,417837,Hightea elegans,species,417837,Ypresian,56,47.8,72441;72441,0.833333,51.400002,Hightea,409567,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,UK,England,local area,56,47.8,109,109,109,Hightea,elegans,NA,Kent,NA,NA
1505619,occurrence,22811,Hightea inflata,species,417840,Hightea inflata,species,417840,Ypresian,56,47.8,72441;72441,0.833333,51.400002,Hightea,409567,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,UK,England,local area,56,47.8,109,109,109,Hightea,inflata,NA,Kent,NA,NA
1505620,occurrence,22811,Hightea oviformis,species,417841,Hightea oviformis,species,417841,Ypresian,56,47.8,72441;72441,0.833333,51.400002,Hightea,409567,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,UK,England,local area,56,47.8,109,109,109,Hightea,oviformis,NA,Kent,NA,NA
1505621,occurrence,22811,Hightea turbinata,species,417842,Hightea turbinata,species,417842,Ypresian,56,47.8,72441;72441,0.833333,51.400002,Hightea,409567,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,UK,England,local area,56,47.8,109,109,109,Hightea,turbinata,NA,Kent,NA,NA
1505622,occurrence,22811,Hightea orbicularis,species,417843,Hightea orbicularis,species,417843,Ypresian,56,47.8,72441;72441,0.833333,51.400002,Hightea,409567,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,UK,England,local area,56,47.8,109,109,109,Hightea,orbicularis,NA,Kent,NA,NA
1505623,occurrence,22811,Hightea minima,species,417844,Hightea minima,species,417844,Ypresian,56,47.8,72441;72441,0.833333,51.400002,Hightea,409567,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,UK,England,local area,56,47.8,109,109,109,Hightea,minima,NA,Kent,NA,NA
1505624,occurrence,22811,Hightea turgida,species,417845,Hightea turgida,species,417845,Ypresian,56,47.8,72441;72441,0.833333,51.400002,Hightea,409567,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,UK,England,local area,56,47.8,109,109,109,Hightea,turgida,NA,Kent,NA,NA
1519675,occurrence,212369,Bombacacidites soleaformis,species,328025,Bombacacidites soleaformis,species,328025,Lutetian,47.8,41.3,73378;73378,-71.321541,9.891456,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,VE,NA,NA,47.8,41.3,108,108,108,Bombacacidites,soleaformis,NA,NA,NA,NA
1519676,occurrence,212369,Bombacacidites sp.,genus,276601,Bombacacidites,genus,276601,Lutetian,47.8,41.3,73378;73378,-71.321541,9.891456,Bombacacidites,276601,Bombacaceae,55599,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,VE,NA,NA,47.8,41.3,108,108,108,Bombacacidites,sp.,NA,NA,NA,NA
1535892,occurrence,215612,Malvaceae indet.,family,53879,Malvaceae,family,53879,Holocene,0.0117,NA,74304;74304,170.779221,-44.265049,NA,NA,Malvaceae,53879,Malvales,54911,Magnoliopsida,55217,Spermatophyta,55350,NZ,South Island,NA,0.0117,NA,3002,32,32,Malvaceae,indet.,NA,South Canterbury,NA,NA
