mal
Mollia gracilis
Malva neglecta
Aguiaria excelsa
Quararibea grandifolia
Quararibea caldasiana
Matisia putumayensis
Pachira speciosa
Luehea ochrophylla
Helicteres sacarolha
Helicteres brevispira
Sida hyssopifolia
Melochia parvifolia
Abutilon mollissimum
Abutilon grandifolium
Abutilon affine
Hochreutinera hassleriana
Hochreutinera hasslerana
Callianthe jujuiensis
Callianthe nivea
Abutilon malachroides
Pseudabutilon virgatum
Neobaclea crispifolia
Abutilon stenopetalum
Callianthe regnellii
Callianthe fluviatilis
Abutilon ramiflorum
Waltheria communis
Helicteres andersonii
Byttneria scabra
Helicteres corylifolia
Acaulimalva engleriana
Tarasa marinii
Fuertesimalva peruviana
Waltheria ovata
Pavonia malvaviscoides
Wissadula andina
Callianthe peruviana
Christiana africana
Eriotheca globosa
Pavonia guerkeana
Melochia melissifolia
Helicteres eichleri
Byttneria gayana
Sida neomexicana
Sida linearifolia
Peltaea obsita
Pavonia viscosa
Pavonia viscidula
Pavonia sagittata
Triumfetta rhomboidea
Wissadula parviflora
Malvastrum coromandelianum
Sida acrantha
Sida nemorensis
Pavonia gracilis
Sida glaziovii
Waltheria cinerascens
Sidastrum micranthum
Byttneria filipes
Talipariti pernambucense
Sidastrum paniculatum
Sida martiana
Melochia simplex
Hibiscus multiformis
Sida viarum
Helicteres muscosa
Ceiba jasminodora
Triumfetta althaeoides
Sida spinosa
Waltheria rotundifolia
Byttneria fernandesii
Melochia betonicifolia
Sida castanocarpa
Helicteres velutina
Sida brittonii
Waltheria operculata
Luehea paniculata
Goethalsia meiantha
Pachira flaviflora
Melochia nodiflora
Byttneria aculeata
Tarasa tarapacana
Nototriche turritella
Nototriche mandoniana
Tarasa nototrichoides
Catostemma fragrans
Pachira nervosa
Hibiscus amazonicus
Catostemma milanezii
Waltheria selloana
Patinoa sphaerocarpa
Apeiba uittienii
Ayenia noblickii
Herrania lemniscata
Peltaea trinervis
Hibiscus clypeatus
Hibiscus sororius
Helicteres guazumifolia
Abelmoschus moschatus
Ayenia eliae
Byttneria divaricata
Waltheria ferruginea
Cavanillesia hylogeiton
Pterygota colombiana
Herrania cuatrecasana
Helicteres semitriloba
Byttneria genistella
Mollia ulei
Theobroma velutinum
Pavonia paludicola
Hibiscus ferreirae
Ayenia angustifolia
Byttneria catalpifolia
Callianthe geminiflora
Waltheria excelsa
Catostemma sancarlosianum
Pavonia mollis
Helicteres jamaicensis
Byttneria cordifolia
Nototriche flabellata
Sterculia rugosa
Helicteres gardneriana
Ayenia tomentosa
Eriotheca gracilipes
Byttneria fulva
Sida argentina
Pavonia biflora
Pavonia intermedia
Melochia lanceolata
Pavonia glazioviana
Herrania camargoana
Byttneria asterotricha
Ochroma pyramidalis
Spirotheca rhodostyla
Sida glabra
Corchorus siliquosus
Pavonia schiedeana
Sida salviifolia
Pavonia martii
Pachira humilis
Helicteres pentandra
Matisia lasiocalyx
Nototriche coccinea
Tarasa hornschuchiana
Melochia graminifolia
Byttneria microphylla
Hibiscus peruvianus
Fuertesimalva echinata
Quararibea amazonica
Malvastrum tomentosum
Luehea speciosa
Sterculia chicomendesii
Herrania kanukuensis
Mollia glabrescens
Lueheopsis rosea
Pachira dolichocalyx
Pachira liesneri
Pachira mawarinumae
Corchorus argutus
Byttneria rhamnifolia
Sida ulei
Melochia argentina
Catostemma durifolius
Acaulimalva purdiaei
Pavonia luetzelburgii
Pavonia macrostyla
Pavonia oxyphyllaria
Melochia regnellii
Byttneria aurantiaca
Byttneria uaupensis
Abutilon longicuspe
Hibiscus pedunculatus
Melochia ulmifolia
Ayenia wygodzinskyi
Acaulimalva weberbaueri
Catostemma sclerophyllum
Cristaria molinae
Lueheopsis duckeana
Pavonia leucantha
Byttneria piresii
Hibiscus cannabinus
Waltheria brachypetala
Pachira brevipes
Abutilon pubistamineum
Gaya calyptrata
Gaya gaudichaudiana
Malvastrum fryxellii
Pavonia multiflora
Abutilon ibarrense
Nototriche sajamensis
Pachira macrocalyx
Sterculia excelsa
Sida rodrigoi
Sida repens
Apeiba echinata
Ayenia praeclara
Sida abutilifolia
Apeiba albiflora
Phragmotheca leucoflora
Fuertesimalva limensis
Theobroma bernouillii
Pavonia argentina
Nototriche pediculariifolia
Pseudobombax majus
Trichospermum galeottii
Sterculia guianensis
Catostemma albuquerquei
Pavonia piptocalyx
Thespesia cubensis
Hibiscus benensis
Ayenia bahiensis
Tarasa tenuis
Pavonia corymbosa
Sterculia stipulifera
Eriotheca crassa
Cienfuegosia affinis
Waltheria martiana
Pseudobombax tomentosum
Byttneria morii
Pachira emarginata
Andeimalva mandonii
Nototriche obcuneata
Waltheria matogrossensis
Tarasa odonellii
Eriotheca ruizii
Acaulimalva crenata
Theobroma sylvestre
Pavonia coccinea
Mollia globularis
Callianthe macrantha
Eriotheca longitubulosa
Helicteres eitenii
Mollia nitida
Waltheria viscosissima
Catostemma hirsutulum
Callianthe sylvatica
Pavonia rosa-campestris
Matisia leptandra
Abutilon hirtum
Herrania breviligulata
Pavonia hastata
Wissadula hernandioides
Wissadula sordida
Theobroma microcarpum
Matisia coloradorum
Pavonia angustifolia
Abutilon abutiloides
Mollia burchellii
Cristaria gracilis
Sida hederifolia
Sterculia lisae
Hibiscus trilobus
Catostemma altsonii
Byttneria pescapriifolia
Heliocarpus donnellsmithii
Sidastrum multiflorum
Sida jamaicensis
Pavonia harleyi
Cienfuegosia integrifolia
