taxonid,scientific_name,kingdom,phylum,class,order,family,genus,main_common_name,authority,published_year,assessment_date,category,criteria,population_trend,marine_system,freshwater_system,terrestrial_system,assessor,reviewer,aoo_km2,eoo_km2,elevation_upper,elevation_lower,depth_upper,depth_lower,errata_flag,errata_reason,amended_flag,amended_reason
37811,Matisia sanblasensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Matisia,NA,(A.Robyns) Cuatrec.,1998,1998-01-01,EN,C2a,NA,FALSE,FALSE,TRUE,"Mitré, M.",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37807,Quararibea pterocalyx,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Quararibea,Wild Palm,Hemsl.,1998,1998-01-01,VU,C2a,NA,FALSE,FALSE,TRUE,"Mitré, M.",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38002,Phragmotheca rubriflora,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Phragmotheca,NA,Fern.Alonso,2020,2020-07-15,EN,B1ab(iii),Decreasing,FALSE,FALSE,TRUE,"Lopez-Gallego, C. & Morales M, P.","Beech, E.",NA,1300,800,200,NA,NA,NA,NA,NA,NA
151960458,Herrania pulcherrima,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Herrania,NA,Goudot,2019,2018-06-12,LC,NA,Stable,FALSE,FALSE,TRUE,"Condit, R.","Beech, E.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164912954,Matisia dowdingii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Matisia,Almirajó de Monte,Sprague,2020,2020-01-31,CR,B2ab(iii),Decreasing,FALSE,FALSE,TRUE,"Lopez-Gallego, C. & Morales M, P.","Beech, E.",4,NA,800,300,NA,NA,NA,NA,NA,NA
153333266,Pachira mutisiana,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Pachira,Jaguito,Fern.Alonso,2020,2019-02-28,EN,B1ab(iii),Decreasing,FALSE,FALSE,TRUE,"Lopez-Gallego, C. & Morales M, P.","Beech, E.",16,156,1800,1500,NA,NA,NA,NA,NA,NA
149503820,Dombeya tiliacea,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Dombeya,NA,(Endl.) Planch.,2019,2018-06-12,LC,NA,Stable,FALSE,FALSE,TRUE,"Botanic Gardens Conservation International (BGCI), IUCN SSC Global Tree Specialist Group & von Staden, L.","von Staden, L. & Raimondo, D.",200,752725.85,NA,NA,NA,NA,NA,NA,NA,NA
151979891,Hampea platanifolia,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Hampea,NA,Standl.,2019,2018-06-12,LC,NA,Stable,FALSE,FALSE,TRUE,"Condit, R.","Beech, E.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164912991,Matisia hirta,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Matisia,Berija,Cuatrec.,2020,2020-07-15,LC,NA,Stable,FALSE,FALSE,TRUE,"Lopez-Gallego, C. & Morales M, P.","Beech, E.",NA,22232,1500,0,NA,NA,NA,NA,NA,NA
164912855,Matisia cruceto,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Matisia,Cruceto,Cuatrec.,2020,2020-07-01,LC,NA,Stable,FALSE,FALSE,TRUE,"Lopez-Gallego, C. & Morales M, P.","Beech, E.",12,35,800,600,NA,NA,NA,NA,NA,NA
164915228,Phragmotheca mambitana,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Phragmotheca,Zapote de Montańa,Fern.Alonso &amp; R.Jaram.,2020,2020-07-15,CR,B1ab(iii),Decreasing,FALSE,FALSE,TRUE,"Lopez-Gallego, C. & Morales M, P.","Beech, E.",8,8,1900,1100,NA,NA,NA,NA,NA,NA
164915381,Quararibea foenigraeca,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Quararibea,Verraquillo,Cuatrec.,2020,2020-07-30,VU,B1ab(iii)+2ab(iii),Decreasing,FALSE,FALSE,TRUE,"Lopez-Gallego, C. & Morales M, P.","Beech, E.",40,9234,2400,900,NA,NA,NA,NA,NA,NA
153326782,Quararibea cogolloi,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Quararibea,Zapotillo,Fern.Alonso,2020,2019-02-28,NT,NA,Decreasing,FALSE,FALSE,TRUE,"Lopez-Gallego, C. & Morales M, P.","Beech, E.",28,23532,700,100,NA,NA,NA,NA,NA,NA
46210,Herrania balaensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Herrania,NA,P.Preuss,2004,2004-04-30,EN,A4c,NA,FALSE,FALSE,TRUE,"Santiana, J. & Pitman, N.","Valencia, R., Pitman, N., Léon-Yánez, S. & Jørgensen, P.M. (Ecuador Plants Red List Authority)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149241550,Gyranthera caribensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Gyranthera,Candalo,Pittier,2020,2019-09-23,VU,B1ab(iii)+2ab(iii),Decreasing,FALSE,FALSE,TRUE,"Avendaño, N., Espinoza Flores, Y., Fernández, A., García, M., Gonto, R., Hokche, O. & Limonggi, T.","Gallardo, A. & García Rawlins, A.",28,4107.86,NA,NA,NA,NA,NA,NA,NA,NA
