taxonid,scientific_name,kingdom,phylum,class,order,family,genus,main_common_name,authority,published_year,assessment_date,category,criteria,population_trend,marine_system,freshwater_system,terrestrial_system,assessor,reviewer,aoo_km2,eoo_km2,elevation_upper,elevation_lower,depth_upper,depth_lower,errata_flag,errata_reason,amended_flag,amended_reason
177832416,Ceiba glaziovii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Ceiba,NA,(Kuntze) K. Schum. ,2020,2020-01-24,LC,NA,Stable,FALSE,FALSE,TRUE,"León, M.L.V., Bicalho, M., Gomes, M., Wagner Ribeiro Júnior, J., Fernandez, E., da Rosa, P., Martinelli, G. & Ferreira, C.","Moraes, M.",704,774200,NA,NA,NA,NA,NA,NA,NA,NA
61782438,Ceiba pentandra,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Ceiba,NA,(L.) Gaertn.,2017,2017-03-03,LC,NA,Unknown,FALSE,FALSE,TRUE,"Rivers, M.C. & Mark, J.","Oldfield, S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61785537,Eriotheca globosa,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Eriotheca,NA,(Aubl.) A.Robyns,2020,2018-06-12,LC,NA,Stable,FALSE,FALSE,TRUE,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Hoffman, B.",632.00,11353330.39,NA,NA,NA,NA,NA,NA,NA,NA
145701700,Eriotheca macrophylla,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Eriotheca,NA,(K.Schum.) A.Robyns,2019,2018-06-12,LC,NA,Stable,FALSE,FALSE,TRUE,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"ter Steege, H.",280,3298846.26,NA,NA,NA,NA,NA,NA,NA,NA
177821246,Eriotheca pentaphylla,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Eriotheca,NA,(Vell.) A.Robyns,2020,2020-01-24,LC,NA,Stable,FALSE,FALSE,TRUE,"León, M.L.V., Bicalho, M., Gomes, M., Wagner Ribeiro Júnior, J., Fernandez, E., da Rosa, P., Martinelli, G. & Ferreira, C.","Moraes, M.",272,984138,NA,NA,NA,NA,NA,NA,NA,NA
36900,Eriotheca peruviana,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Eriotheca,NA,Robyns,1998,1998-01-01,VU,D2,NA,FALSE,FALSE,TRUE,World Conservation Monitoring Centre,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149241550,Gyranthera caribensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Gyranthera,Candalo,Pittier,2020,2019-09-23,VU,B1ab(iii)+2ab(iii),Decreasing,FALSE,FALSE,TRUE,"Avendaño, N., Espinoza Flores, Y., Fernández, A., García, M., Gonto, R., Hokche, O. & Limonggi, T.","Gallardo, A. & García Rawlins, A.",28,4107.86,NA,NA,NA,NA,NA,NA,NA,NA
30572,Gyranthera darienensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Gyranthera,Cucarrón,Pitt.,1998,1998-01-01,EN,C2a,NA,FALSE,FALSE,TRUE,"Mitré, M.",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37805,Huberodendron patinoi,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Huberodendron,NA,Cuatr.,1998,1998-01-01,VU,C1,NA,FALSE,FALSE,TRUE,"Mitré, M.",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121394865,Neobuchia paulinae,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Neobuchia,NA,Urb.,2018,2017-11-07,VU,D2,Unknown,FALSE,FALSE,TRUE,"Modler, D.","Timyan, J.",12,488,100,50,NA,NA,NA,NA,NA,NA
